command,entity,field,metric,perftype,tsidxnamespace
average,hostsystem,"p_average_cpu_coreUtilization_percent","average_cpu_coreUtilization_percent",cpu,"vmw_perf_cpu_hostsystem"
average,hostsystem,"p_average_cpu_demand_megaHertz","average_cpu_demand_megaHertz",cpu,"vmw_perf_cpu_hostsystem"
average,hostsystem,"p_average_cpu_latency_percent","average_cpu_latency_percent",cpu,"vmw_perf_cpu_hostsystem"
average,hostsystem,"p_average_cpu_reservedCapacity_megaHertz","average_cpu_reservedCapacity_megaHertz",cpu,"vmw_perf_cpu_hostsystem"
average,hostsystem,"p_average_cpu_totalCapacity_megaHertz","average_cpu_totalCapacity_megaHertz",cpu,"vmw_perf_cpu_hostsystem"
average,hostsystem,"p_average_cpu_usage_percent","average_cpu_usage_percent",cpu,"vmw_perf_cpu_hostsystem"
average,hostsystem,"p_average_cpu_usagemhz_megaHertz","average_cpu_usagemhz_megaHertz",cpu,"vmw_perf_cpu_hostsystem"
average,hostsystem,"p_average_cpu_utilization_percent","average_cpu_utilization_percent",cpu,"vmw_perf_cpu_hostsystem"
summation,hostsystem,"p_summation_cpu_costop_millisecond","summation_cpu_costop_millisecond",cpu,"vmw_perf_cpu_hostsystem"
summation,hostsystem,"p_summation_cpu_idle_millisecond","summation_cpu_idle_millisecond",cpu,"vmw_perf_cpu_hostsystem"
summation,hostsystem,"p_summation_cpu_ready_millisecond","summation_cpu_ready_millisecond",cpu,"vmw_perf_cpu_hostsystem"
summation,hostsystem,"p_summation_cpu_run_millisecond","summation_cpu_run_millisecond",cpu,"vmw_perf_cpu_hostsystem"
summation,hostsystem,"p_summation_cpu_swapwait_millisecond","summation_cpu_swapwait_millisecond",cpu,"vmw_perf_cpu_hostsystem"
summation,hostsystem,"p_summation_cpu_used_millisecond","summation_cpu_used_millisecond",cpu,"vmw_perf_cpu_hostsystem"
summation,hostsystem,"p_summation_cpu_wait_millisecond","summation_cpu_wait_millisecond",cpu,"vmw_perf_cpu_hostsystem"
average,hostsystem,"p_average_mem_active_kiloBytes","average_mem_active_kiloBytes",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_activewrite_kiloBytes","average_mem_activewrite_kiloBytes",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_compressed_kiloBytes","average_mem_compressed_kiloBytes",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_compressionRate_kiloBytesPerSecond","average_mem_compressionRate_kiloBytesPerSecond",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_consumed_kiloBytes","average_mem_consumed_kiloBytes",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_decompressionRate_kiloBytesPerSecond","average_mem_decompressionRate_kiloBytesPerSecond",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_granted_kiloBytes","average_mem_granted_kiloBytes",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_heap_kiloBytes","average_mem_heap_kiloBytes",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_heapfree_kiloBytes","average_mem_heapfree_kiloBytes",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_latency_percent","average_mem_latency_percent",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_llSwapIn_kiloBytes","average_mem_llSwapIn_kiloBytes",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_llSwapInRate_kiloBytesPerSecond","average_mem_llSwapInRate_kiloBytesPerSecond",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_llSwapOut_kiloBytes","average_mem_llSwapOut_kiloBytes",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_llSwapOutRate_kiloBytesPerSecond","average_mem_llSwapOutRate_kiloBytesPerSecond",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_llSwapUsed_kiloBytes","average_mem_llSwapUsed_kiloBytes",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_lowfreethreshold_kiloBytes","average_mem_lowfreethreshold_kiloBytes",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_overhead_kiloBytes","average_mem_overhead_kiloBytes",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_reservedCapacity_megaBytes","average_mem_reservedCapacity_megaBytes",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_shared_kiloBytes","average_mem_shared_kiloBytes",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_sharedcommon_kiloBytes","average_mem_sharedcommon_kiloBytes",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_swapin_kiloBytes","average_mem_swapin_kiloBytes",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_swapinRate_kiloBytesPerSecond","average_mem_swapinRate_kiloBytesPerSecond",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_swapout_kiloBytes","average_mem_swapout_kiloBytes",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_swapoutRate_kiloBytesPerSecond","average_mem_swapoutRate_kiloBytesPerSecond",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_swapused_kiloBytes","average_mem_swapused_kiloBytes",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_sysUsage_kiloBytes","average_mem_sysUsage_kiloBytes",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_totalCapacity_megaBytes","average_mem_totalCapacity_megaBytes",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_unreserved_kiloBytes","average_mem_unreserved_kiloBytes",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_usage_percent","average_mem_usage_percent",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_vmmemctl_kiloBytes","average_mem_vmmemctl_kiloBytes",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_zero_kiloBytes","average_mem_zero_kiloBytes",mem,"vmw_perf_mem_hostsystem"
latest,hostsystem,"p_latest_mem_state_number","latest_mem_state_number",mem,"vmw_perf_mem_hostsystem"
